district,category,U_ms,fetch_km,depth_m,SLR_m,eta_surge,eta_wave,eta_tide,TWL_m,TWL_bathy_check_m
Bagerhat,Cat1_moderate,33,160,5,1.051,10.613560080554935,14.209174311926606,1.45,27.32373439248154,27.32373439248154
Bagerhat,Cat3_severe,50,160,5,1.051,24.365381268491586,32.6197757390418,1.45,59.48615700753338,59.48615700753338
Bagerhat,Cat5_extreme,70,160,5,1.051,47.756147286243504,63.934760448521914,1.45,114.19190773476542,114.19190773476542
Barguna,Cat1_moderate,33,130,6,1.008,7.1862646378757375,12.807976640914283,1.3,22.30224127879002,22.30224127879002
Barguna,Cat3_severe,50,130,6,1.008,16.497393567207844,29.40306850531286,1.3,48.2084620725207,48.2084620725207
Barguna,Cat5_extreme,70,130,6,1.008,32.334891391727375,57.63001427041321,1.3,92.27290566214059,92.27290566214059
Bhola,Cat1_moderate,33,110,6.5,0.976,5.612940427216552,11.781624943354227,1.2,19.57056537057078,19.57056537057078
Bhola,Cat3_severe,50,110,6.5,0.976,12.885538170836895,27.046889217984912,1.2,42.10842738882181,42.10842738882181
Bhola,Cat5_extreme,70,110,6.5,0.976,25.25565481484032,53.01190286725043,1.2,80.44355768209074,80.44355768209074
Chittagong,Cat1_moderate,33,60,9,0.851,2.2111583501156113,8.70130668262061,0.9,12.663465032736221,12.663465032736221
Chittagong,Cat3_severe,50,60,9,0.851,5.076121097602413,19.975451521167614,0.9,26.80257261877003,26.80257261877003
Chittagong,Cat5_extreme,70,60,9,0.851,9.94919735130073,39.151884981488514,0.9,50.852082332789244,50.852082332789244
Cox's Bazar,Cat1_moderate,33,50,10,0.816,1.6583687625867085,7.943169916402923,0.8,11.21753867898963,11.21753867898963
Cox's Bazar,Cat3_severe,50,50,10,0.816,3.80709082320181,18.235008990823975,0.8,23.658099814025785,23.658099814025785
Cox's Bazar,Cat5_extreme,70,50,10,0.816,7.461898013475548,35.74061762201499,0.8,44.818515635490535,44.818515635490535
Feni,Cat1_moderate,33,70,8,0.883,2.90214533452674,9.398485391231281,1,14.183630725758022,14.183630725758022
Feni,Cat3_severe,50,70,8,0.883,6.662408940603168,21.575953607050693,1,30.12136254765386,30.12136254765386
Feni,Cat5_extreme,70,70,8,0.883,13.058321523582208,42.288869069819356,1,57.23019059340156,57.23019059340156
Khulna,Cat1_moderate,33,170,4.5,1.061,12.529897317321797,14.646481635221637,1.5,29.737378952543434,29.737378952543434
Khulna,Cat3_severe,50,170,4.5,1.061,28.76468621974701,33.62369521400743,1.5,64.94938143375444,64.94938143375444
Khulna,Cat5_extreme,70,170,4.5,1.061,56.37878499070415,65.90244261945456,1.5,124.84222761015872,124.84222761015872
Lakshmipur,Cat1_moderate,33,90,7,0.9359999999999999,4.264376818080107,10.656880733944956,1.1,16.957257552025062,16.957257552025062
Lakshmipur,Cat3_severe,50,90,7,0.9359999999999999,9.789662116804655,24.46483180428135,1.1,36.290493921086004,36.290493921086004
Lakshmipur,Cat5_extreme,70,90,7,0.9359999999999999,19.187737748937124,47.95107033639144,1.1,69.17480808532856,69.17480808532856
Noakhali,Cat1_moderate,33,80,7.5,0.9179999999999999,3.537853360184978,10.047403511025,1.05,15.553256871209978,15.553256871209978
Noakhali,Cat3_severe,50,80,7.5,0.9179999999999999,8.12179375616386,23.065664625860883,1.05,33.15545838202475,33.15545838202475
Noakhali,Cat5_extreme,70,80,7.5,0.9179999999999999,15.918715762081169,45.20870266668732,1.05,63.0954184287685,63.0954184287685
Patuakhali,Cat1_moderate,33,120,6,0.991,6.633475050346835,12.305505920929711,1.25,21.179980971276546,21.179980971276546
Patuakhali,Cat3_severe,50,120,6,0.991,15.22836329280724,28.24955445576151,1.25,45.71891774856875,45.71891774856875
Patuakhali,Cat5_extreme,70,120,6,0.991,29.847592053902193,55.369126733292546,1.25,87.45771878719474,87.45771878719474
Pirojpur,Cat1_moderate,33,140,5.5,1.021,8.442604609532335,13.29146550604468,1.35,24.105070115577014,24.105070115577014
Pirojpur,Cat3_severe,50,140,5.5,1.021,19.38155328175467,30.513006212223786,1.35,52.26555949397846,52.26555949397846
Pirojpur,Cat5_extreme,70,140,5.5,1.021,37.98784443223915,59.80549217595862,1.35,100.16433660819777,100.16433660819777
Satkhira,Cat1_moderate,33,180,4,1.143,14.925318863280376,15.071105266537499,1.6,32.73942412981788,32.73942412981788
Satkhira,Cat3_severe,50,180,4,1.143,34.26381740881629,34.59849693879132,1.6,71.60531434760762,71.60531434760762
Satkhira,Cat5_extreme,70,180,4,1.143,67.15708212127994,67.81305400003099,1.6,137.71313612131092,137.71313612131092
