district,TWL_design_m,TWL_hazard_norm
Bagerhat,59.48615700753338,0.747239595501714
Barguna,48.2084620725207,0.5120289572045953
Bhola,42.10842738882181,0.3848049934553251
Chittagong,26.80257261877003,0.06558197040918573
Cox's Bazar,23.658099814025785,0
Feni,30.12136254765386,0.1347995456357795
Khulna,64.94938143375444,0.8611820732736952
Lakshmipur,36.290493921086004,0.2634646085272085
Noakhali,33.15545838202475,0.19807946426892206
Patuakhali,45.71891774856875,0.4601063513103926
Pirojpur,52.26555949397846,0.5966448720376915
Satkhira,71.60531434760762,1
