"year","observed","trend","cyclical","residual"
1969,0,0.0263008944132615,0,-0.0263008944132615
1970,1.223627060098,1.27561309284255,0,-0.0519860327445443
1971,2.45388924761312,2.51628554760033,0.0120085811450663,-0.0744048811322757
1972,3.88274406569814,3.75132780881535,0.0461672310364779,0.0852490258463066
1973,5.04860473928799,4.97929486330043,0.0426397852685398,0.0266700907190223
1974,6.34551907054046,6.20102671549666,0.0484492777352311,0.0960430773085656
1975,7.35052796857201,7.42015123015624,0.0249477527434969,-0.0945710143277321
1976,8.59474549405545,8.6280943317092,0.0234995641830682,-0.056848401836821
1977,9.84669150573884,9.83278287381473,0.0203361045391429,-0.00642747261502912
1978,11.0910214275969,11.0289524944115,-0.0262113166939294,0.0882802498793481
1979,12.3553979076405,12.2267228508163,0.00403597257078019,0.12463908425339
1980,13.1539367417773,13.4562971095269,-0.0438974111384237,-0.258462956611173
1981,14.8161536467504,14.6982660380806,-0.0416967885387212,0.159584397208516
1982,15.7039080390778,15.9296663256997,-0.0157837543149519,-0.209974532306954
1983,17.2280323974056,17.1549603512216,0.0518861559056567,0.0211858902782744
1984,18.634795666119,18.376555438176,0.0228882981593817,0.235351929783635
1985,19.6218125115439,19.5858233281904,0.0520667079785802,-0.0160775246251333
1986,20.7634228185005,20.7905244985621,0.0153443369175498,-0.0424460169791303
1987,21.8953955270693,21.9752617645952,-0.0147803438336091,-0.0650858936923036
1988,23.0337093016336,23.1442491107548,-0.0137259903896997,-0.0968138187315212
1989,24.4330573247346,24.3254405005474,-0.0428180863922187,0.15043491057944
1990,25.5617524940103,25.5204915434373,-0.00538409808726783,0.0466450486602618
1991,26.5494585591632,26.7220207192374,0.0185003346289896,-0.191062494703165
1992,28.056104656173,27.9488009521742,-0.012864804314902,0.120168508313743
1993,29.1891834921202,29.1803011376601,-0.0327652893159822,0.0416476437760487
1994,30.3553646798287,30.4045735503609,0.0282265819576132,-0.0774354524898499
1995,31.5742455828992,31.6324870573316,-0.00404850615420287,-0.054192968278204
1996,32.9861059692592,32.8537087729654,0.0125579193295813,0.11983927696422
1997,34.0151943269859,34.0692660635461,0.0417563688598094,-0.0958281054200484
1998,35.3734237567073,35.2815092748283,-0.00156127807379675,0.0934757599527842
1999,36.5838772159798,36.4870938388609,-0.0232463512701756,0.120029728389079
2000,37.4127654510401,37.6875951601405,-0.00572471246944559,-0.269104996630992
2001,38.8987538441429,38.874782013831,0.0183145699108025,0.00565726040110519
2002,40.0857736727067,40.0522372152633,-0.00884036535314436,0.0423768227965553
2003,41.4488242607387,41.2367133669584,0.0295141357580476,0.18259675802218
2004,42.3846645069781,42.4236558061789,0.00739060570760586,-0.0463819049084364
2005,43.5330387697726,43.6160959733171,0.0240946383967341,-0.107151841941212
2006,44.7313810356082,44.8180268555485,-0.057401802485731,-0.0292440174545703
2007,46.1438025069498,46.0267458860607,-0.0393449561071279,0.15640157699618
2008,47.0644720130165,47.2598433236486,-0.0236993962380083,-0.171671914394089
2009,48.5591694345031,48.5078765018109,0.0120314277198034,0.0392615049723815
2010,49.7435550546395,49.7483844588384,-0.0174687901373943,0.0126393859385146
2011,51.0851099080992,50.9931016082504,0.00947851593160465,0.0825297839171526
2012,52.2033032338576,52.2337477022545,0.0695401150123885,-0.099984583409325
2013,53.3918512694633,53.4524860497504,-0.00206340217264654,-0.0585713781144562
2014,55.0138984655049,54.6622975374088,-0.0200231549004869,0.371624082996591
2015,55.4856621862831,55.8485091764071,0.0391136638510233,-0.401960653975078
2016,57.0219443025586,57.0197347663491,0.0119141427418526,-0.00970460653229707
2017,58.469887528214,58.2046479028534,-0.051732814335179,0.316972439695793
2018,59.2057134906989,59.4023458765318,-0.0276731859654589,-0.168959199867497
2019,60.6377377841681,60.6043716414571,-0.0366542908084455,0.0700204335193917
2020,61.5721967236334,61.8147455719088,-0.0649737673701324,-0.177575080905322
2021,62.9878869258471,63.0305829138525,-0.0519086084915514,0.00921262048617422
2022,64.3790914669601,64.2554492244079,-0.0325091197916336,0.156151362343813
2023,65.3564361524101,65.4877427438502,0,-0.131306591440051
2024,66.8570604814613,66.7266968952508,0,0.130363586210535
