"district","urban_pct_2075","agri_pct_2075","natural_buffer_pct_2075","pop_density_projected_km2","power_plants_n","water_treatment_n","transport_nodes_n","exposure_index"
"Satkhira",40,32.5,27.5,1162,1,2,4,0.199484725616082
"Khulna",43.3,30.8,25.8,1318,2,4,7,0.314020859875468
"Bagerhat",35.7,34.7,29.7,961,1,2,4,0.124374874234129
"Pirojpur",41,32,27,1209,1,1,3,0.200007688445598
"Barguna",33.7,35.7,30.7,868,0,1,2,0.05
"Patuakhali",35,35,30,930,1,2,4,0.112597351457496
"Bhola",37.7,33.7,28.7,1054,1,2,4,0.159166415134925
"Lakshmipur",63.3,20.8,15.8,2248,2,3,6,0.644971983169141
"Noakhali",51.7,26.7,21.7,1705,2,3,6,0.44229053477383
"Feni",70,18.3,11.7,2635,1,2,4,0.737483372884531
"Chittagong",70,21.7,8.3,2945,5,8,15,1
"Cox's Bazar",45,30,25,1395,2,4,8,0.348757436913857
