"district","lon","lat","hazard_index","exposure_index","vulnerability_index","risk_score","risk_class"
"Satkhira",89.07,22.71,0.927619047619048,0.199484725616082,0.877272727272727,0.162335660998971,"SEVERE"
"Lakshmipur",90.85,22.94,0.40968992248062,0.644971983169141,0.586111134968008,0.154873139906693,"SEVERE"
"Khulna",89.55,22.82,0.768028792912514,0.314020859875468,0.566675290934856,0.136669081752717,"SEVERE"
"Pirojpur",89.98,22.58,0.602115171650055,0.200007688445598,0.836225791213982,0.100704718327928,"HIGH"
"Bhola",90.78,22.19,0.745570321151717,0.159166415134925,0.834204706488599,0.0989948683463269,"HIGH"
"Bagerhat",89.79,22.65,0.770730897009967,0.124374874234129,0.80670588740499,0.0773304701123927,"HIGH"
"Noakhali",91.1,22.87,0.315592469545958,0.44229053477383,0.527268433031305,0.0735980060791435,"MODERATE"
"Patuakhali",90.35,22.35,0.778925802879291,0.112597351457496,0.832280993687465,0.072995189891655,"MODERATE"
"Feni",91.4,23.02,0.188704318936877,0.737483372884531,0.45115794219951,0.0627859804521002,"MODERATE"
"Barguna",90.11,22.16,0.886976744186047,0.05,0.962394898441191,0.0426810946820314,"LOW"
"Cox's Bazar",91.98,21.44,0.158571428571429,0.348757436913857,0.365681818181818,0.0202232887907071,"LOW"
"Chittagong",91.8,22.36,0.05,1,0.05,0.0025,"LOW"
