"subsidence_delta","eustatic_delta","subsidence_mm_yr","eustatic_2075_cm","total_relative_slr_2075_cm"
-0.2,-0.2,9.29333333333333,46.4,92.8666666666667
-0.1,-0.2,10.455,46.4,98.675
0,-0.2,11.6166666666667,46.4,104.483333333333
0.1,-0.2,12.7783333333333,46.4,110.291666666667
0.2,-0.2,13.94,46.4,116.1
-0.2,-0.1,9.29333333333333,52.2,98.6666666666667
-0.1,-0.1,10.455,52.2,104.475
0,-0.1,11.6166666666667,52.2,110.283333333333
0.1,-0.1,12.7783333333333,52.2,116.091666666667
0.2,-0.1,13.94,52.2,121.9
-0.2,0,9.29333333333333,58,104.466666666667
-0.1,0,10.455,58,110.275
0,0,11.6166666666667,58,116.083333333333
0.1,0,12.7783333333333,58,121.891666666667
0.2,0,13.94,58,127.7
-0.2,0.1,9.29333333333333,63.8,110.266666666667
-0.1,0.1,10.455,63.8,116.075
0,0.1,11.6166666666667,63.8,121.883333333333
0.1,0.1,12.7783333333333,63.8,127.691666666667
0.2,0.1,13.94,63.8,133.5
-0.2,0.2,9.29333333333333,69.6,116.066666666667
-0.1,0.2,10.455,69.6,121.875
0,0.2,11.6166666666667,69.6,127.683333333333
0.1,0.2,12.7783333333333,69.6,133.491666666667
0.2,0.2,13.94,69.6,139.3
