"district","district_relative_slr_cm","slr_rank","compound_risk_index","compound_rank","rank_change"
"Satkhira",150.5,1,0.901358187092539,1,0
"Patuakhali",120,6,0.843926742983054,2,4
"Bagerhat",132,3,0.774576951002777,3,0
"Bhola",117,7,0.770668129046569,4,3
"Barguna",123.5,5,0.768238654909809,5,0
"Khulna",134,2,0.75391981333922,6,-4
"Pirojpur",126,4,0.72082537659113,7,-3
"Lakshmipur",109,8,0.714166934053821,8,0
"Noakhali",105.5,9,0.657347845283454,9,0
"Chittagong",92,11,0.641165049728024,10,1
"Feni",98.5,10,0.628967145737036,11,-1
"Cox's Bazar",85,12,0.602987538472846,12,0
